date,occupancy,capacity,% occupied
09/09/2017,5115,5272,97.02200303490136
09/10/2017,5187,5402,96.01999259533505
09/11/2017,5357,5572,96.14142139267767
09/12/2017,5390,5576,96.66427546628408
10/01/2017,4263,4663,91.42183143898778
10/02/2017,4453,4725,94.24338624338624
10/03/2017,4562,4721,96.63206947680575
10/04/2017,4568,4938,92.50708788983394
10/05/2017,4758,5007,95.02696225284602
10/06/2017,4889,5164,94.67467079783114
10/07/2017,4851,5180,93.64864864864865
10/08/2017,4971,5281,94.12989964021966
10/09/2017,5131,5272,97.32549317147192
10/10/2017,5186,5442,95.29584711503124
10/11/2017,5429,5572,97.43359655419957
10/12/2017,5374,5576,96.37733142037303
11/01/2017,4297,4693,91.56190070317494
11/02/2017,4440,4725,93.96825396825396
11/03/2017,4576,4721,96.92861681847066
11/04/2017,4593,4938,93.01336573511543
11/05/2017,4764,5007,95.1467944877172
11/06/2017,4882,5164,94.53911696359411
11/07/2017,4837,5180,93.37837837837839
11/08/2017,4967,5281,94.05415640977087
11/09/2017,5052,5272,95.82701062215479
11/10/2017,5176,5442,95.11209114296214
11/11/2017,5450,5572,97.81048097631012
11/12/2017,5300,5576,95.05021520803444
12/01/2017,4318,4699,91.8918918918919
12/02/2017,4444,4725,94.05291005291005
12/03/2017,4550,4721,96.37788604109299
12/04/2017,4608,4938,93.31713244228432
12/05/2017,4835,5007,96.56480926702616
12/06/2017,4819,5164,93.31913245546089
12/07/2017,4840,5180,93.43629343629344
12/08/2017,5028,5281,95.20924067411475
12/09/2017,5062,5272,96.01669195751138
12/10/2017,5193,5443,95.40694469961419
12/11/2017,5448,5572,97.77458722182341
12/12/2017,5359,5582,96.00501612325331
13/01/2017,4410,4699,93.84975526707811
13/02/2017,4399,4725,93.1005291005291
13/03/2017,4475,4721,94.78923956788816
13/04/2017,4634,4938,93.84366140137708
13/05/2017,4821,5007,96.28520071899341
13/06/2017,4803,5164,93.00929512006196
13/07/2017,4884,5180,94.28571428571428
13/08/2017,5017,5281,95.00094679038061
13/09/2017,5061,5264,96.1436170212766
13/10/2017,5247,5443,96.39904464449752
13/11/2017,5376,5572,96.4824120603015
13/12/2017,5418,5631,96.21736814064997
14/01/2017,4411,4699,93.87103639072143
14/02/2017,4401,4725,93.14285714285714
14/03/2017,4503,4721,95.38233425121796
14/04/2017,4731,4938,95.80801944106926
14/05/2017,4851,5007,96.88436189334931
14/06/2017,4831,5164,93.55151045701007
14/07/2017,4869,5180,93.996138996139
14/08/2017,4975,5281,94.20564287066844
14/09/2017,5054,5264,96.01063829787235
14/10/2017,5278,5443,96.96858350174537
14/11/2017,5381,5571,96.58948124214683
14/12/2017,5413,5631,96.12857396554786
15/01/2017,4414,4699,93.93487976165142
15/02/2017,4403,4725,93.18518518518518
15/03/2017,4512,4721,95.57297182800254
15/04/2017,4731,4938,95.80801944106926
15/05/2017,4753,5007,94.92710205712002
15/06/2017,4849,5164,93.90007745933386
15/07/2017,4926,5180,95.0965250965251
15/08/2017,4972,5281,94.14883544783184
15/09/2017,5060,5264,96.12462006079028
15/10/2017,5298,5443,97.33602792577622
15/11/2017,5372,5571,96.42793035361694
15/12/2017,5490,5631,97.49600426212041
16/01/2017,4335,4699,92.25367099382848
16/02/2017,4403,4725,93.18518518518518
16/03/2017,4476,4721,94.81042152086422
16/04/2017,4736,4938,95.90927501012555
16/05/2017,4756,5007,94.98701817455563
16/06/2017,4832,5164,93.5708752904725
16/07/2017,4950,5180,95.55984555984556
16/08/2017,4977,5281,94.24351448589282
16/09/2017,5139,5264,97.62537993920972
16/10/2017,5217,5443,95.84787800845123
16/11/2017,5377,5571,96.51768084724466
16/12/2017,5493,5631,97.54928076718167
17/01/2017,4338,4699,92.31751436475845
17/02/2017,4477,4725,94.75132275132275
17/03/2017,4605,4721,97.54289345477653
17/04/2017,4676,4938,94.69420818144998
17/05/2017,4743,5067,93.60568383658969
17/06/2017,4918,5164,95.23625096824168
17/07/2017,4848,5180,93.59073359073359
17/08/2017,4969,5281,94.09202802499527
17/09/2017,5158,5264,97.98632218844985
17/10/2017,5208,5443,95.68252801763734
17/11/2017,5449,5571,97.81008795548377
17/12/2017,5490,5631,97.49600426212041
18/01/2017,4364,4699,92.87082357948499
18/02/2017,4470,4725,94.6031746031746
18/03/2017,4578,4721,96.9709807244228
18/04/2017,4655,4938,94.26893479141353
18/05/2017,4751,5067,93.76356818630353
18/06/2017,4906,5164,95.00387296669248
18/07/2017,4868,5411,89.96488634263538
18/08/2017,4978,5281,94.26245029350501
18/09/2017,5065,5264,96.21960486322189
18/10/2017,5224,5443,95.97648355686202
18/11/2017,5458,5571,97.97163884401364
18/12/2017,5384,5631,95.6135677499556
19/01/2017,4359,4699,92.76441796126835
19/02/2017,4458,4725,94.34920634920636
19/03/2017,4551,4721,96.39906799406906
19/04/2017,4685,4984,94.0008025682183
19/05/2017,4845,5067,95.61870929544108
19/06/2017,4914,5164,95.15879163439195
19/07/2017,4883,5411,90.24209942709295
19/08/2017,5053,5281,95.68263586441962
19/09/2017,5069,5264,96.29559270516718
19/10/2017,5259,5443,96.61951129891604
19/11/2017,5442,5571,97.68443726440495
19/12/2017,5378,5631,95.50701473983307
20/01/2017,4432,4699,94.31793998723133
20/02/2017,4417,4725,93.48148148148148
20/03/2017,4503,4721,95.38233425121796
20/04/2017,4701,4984,94.32182985553771
20/05/2017,4858,5067,95.87527136372607
20/06/2017,4931,5158,95.5990694067468
20/07/2017,4885,5411,90.2790611716873
20/08/2017,5066,5281,95.92880136337814
20/09/2017,5077,5256,96.59436834094367
20/10/2017,5327,5443,97.86882234062098
20/11/2017,5379,5571,96.55358104469575
20/12/2017,5377,5638,95.37069882937212
21/01/2017,4416,4699,93.97744200893807
21/02/2017,4415,4731,93.32065102515324
21/03/2017,4526,4721,95.86951916966744
21/04/2017,4795,4996,95.97678142514012
21/05/2017,4856,5067,95.83580027629762
21/06/2017,4929,5158,95.56029468786352
21/07/2017,4905,5411,90.64867861763075
21/08/2017,4989,5281,94.47074417723917
21/09/2017,5086,5336,95.31484257871064
21/10/2017,5353,5443,98.34650009186112
21/11/2017,5360,5571,96.21252916891044
21/12/2017,5401,5638,95.79638169563674
22/01/2017,4424,4699,94.1476909980847
22/02/2017,4425,4731,93.53202282815472
22/03/2017,4527,4721,95.8907011226435
22/04/2017,4786,4996,95.79663730984788
22/05/2017,4798,5067,94.69113874087232
22/06/2017,4932,5162,95.54436265013561
22/07/2017,4977,5411,91.97930142302717
22/08/2017,5009,5281,94.84946032948305
22/09/2017,5087,5346,95.15525626636739
22/10/2017,5366,5443,98.58533896748118
22/11/2017,5372,5571,96.42793035361694
22/12/2017,5466,5755,94.97827975673327
23/01/2017,4354,4699,92.65801234305171
23/02/2017,4429,4737,93.49799451129407
23/03/2017,4521,4721,95.76360940478712
23/04/2017,4797,4996,96.01681345076061
23/05/2017,4804,5067,94.80955200315768
23/06/2017,4943,5184,95.35108024691358
23/07/2017,4974,5411,91.92385880613566
23/08/2017,5014,5281,94.94413936754403
23/09/2017,5152,5346,96.37111859334082
23/10/2017,5288,5443,97.1523057137608
23/11/2017,5377,5571,96.51768084724466
23/12/2017,5502,5755,95.60382276281494
24/01/2017,4361,4699,92.80698020855502
24/02/2017,4519,4737,95.39793118007177
24/03/2017,4625,4821,95.93445343289774
24/04/2017,4765,4996,95.37630104083267
24/05/2017,4810,5067,94.92796526544306
24/06/2017,4970,5184,95.87191358024691
24/07/2017,4898,5420,90.36900369003689
24/08/2017,5037,5281,95.37966294262449
24/09/2017,5161,5346,96.53946876169098
24/10/2017,5299,5483,96.64417289804851
24/11/2017,5464,5571,98.0793394363669
24/12/2017,5484,5755,95.29105125977411
25/01/2017,4364,4709,92.67360373752389
25/02/2017,4497,4737,94.93350221659279
25/03/2017,4616,4821,95.74777017216346
25/04/2017,4771,5011,95.21053681899821
25/05/2017,4822,5057,95.35297607277042
25/06/2017,4968,5184,95.83333333333334
25/07/2017,4927,5420,90.9040590405904
25/08/2017,5012,5281,94.90626775231964
25/09/2017,5098,5346,95.3610175832398
25/10/2017,5313,5483,96.89950756884917
25/11/2017,5463,5571,98.06138933764136
25/12/2017,5440,5755,94.5264986967854
26/01/2017,4349,4709,92.35506476959014
26/02/2017,4507,4737,95.14460629090141
26/03/2017,4615,4821,95.72702758763741
26/04/2017,4743,5011,94.651766114548
26/05/2017,4901,5057,96.91516709511568
26/06/2017,4917,5184,94.84953703703704
26/07/2017,4941,5417,91.212848440096
26/08/2017,5113,5281,96.8187843211513
26/09/2017,5107,5346,95.52936775158997
26/10/2017,5301,5483,96.68064927959146
26/11/2017,5466,5571,98.11523963381799
26/12/2017,5469,5755,95.03040834057342
27/01/2017,4402,4709,93.48056912295604
27/02/2017,4444,4727,94.01311614131585
27/03/2017,4548,4821,94.33727442439329
27/04/2017,4742,5011,94.63181001796048
27/05/2017,4908,5057,97.0535890844374
27/06/2017,4920,5184,94.9074074074074
27/07/2017,4953,5417,91.43437326933727
27/08/2017,5092,5281,96.42113236129521
27/09/2017,5119,5338,95.89733982765081
27/10/2017,5372,5483,97.97556082436623
27/11/2017,5392,5571,96.7869323281278
27/12/2017,5471,5755,95.06516072980017
28/01/2017,4416,4709,93.7778721596942
28/02/2017,4444,4727,94.01311614131585
28/03/2017,4557,4821,94.52395768512757
28/04/2017,4832,5011,96.42785871083616
28/05/2017,4898,5057,96.85584338540637
